                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8035,                 3.9636,                   4.21,                0.00331,                 0.2947,                0.00324,                0.00108,                 3.7213,                 4.0138,                 4.1587,                0.00012,                0.00012,                0.00012
                      2,                 3.8457,                  3.942,                 4.1954,                0.00336,                0.29801,                0.00292,                0.00088,                 3.7193,                 4.0131,                 4.1565,             0.00025357,             0.00025357,             0.00025357
                      3,                 3.7109,                 3.8016,                 4.1562,                0.00337,                 0.2947,                0.00313,                0.00095,                 3.7171,                 4.0057,                 4.1513,              0.0003802,              0.0003802,              0.0003802
                      4,                 3.9843,                 3.7806,                 4.1426,                0.00342,                0.30464,                0.00335,                0.00102,                 3.7146,                 3.9907,                 4.1444,             0.00049991,             0.00049991,             0.00049991
                      5,                 3.9444,                 3.8018,                 4.1074,                0.00328,                0.30132,                0.00358,                0.00105,                 3.7121,                  3.964,                 4.1334,             0.00061268,             0.00061268,             0.00061268
                      6,                 3.9179,                 3.5118,                 4.0519,                0.00316,                0.29139,                0.00373,                0.00103,                  3.715,                 3.9357,                 4.1268,             0.00071852,             0.00071852,             0.00071852
                      7,                 3.7895,                 3.5151,                 3.9827,                0.00317,                0.29801,                0.00373,                0.00112,                  3.729,                 3.9028,                 4.1463,             0.00081744,             0.00081744,             0.00081744
                      8,                 3.4646,                 3.4113,                 3.8141,                0.00294,                0.29139,                0.00333,                0.00096,                 3.7334,                 3.8907,                 4.1486,             0.00090943,             0.00090943,             0.00090943
                      9,                 3.7016,                 3.3147,                 3.7795,                0.00312,                0.28146,                0.00536,                0.00133,                 3.7984,                 4.0567,                 4.2826,             0.00099448,             0.00099448,             0.00099448
                     10,                 3.5892,                 3.3507,                 3.6647,                0.00334,                0.28477,                0.00521,                0.00128,                  3.796,                  4.043,                 4.2925,              0.0010726,              0.0010726,              0.0010726
                     11,                 3.4487,                 3.3851,                 3.6439,                0.00333,                0.28477,                0.00369,                0.00112,                 3.7611,                 3.9638,                 4.2421,              0.0011438,              0.0011438,              0.0011438
                     12,                 3.5011,                 3.2513,                 3.5305,                0.00592,                0.14238,                0.00427,                0.00142,                 3.8203,                 4.1662,                 4.3901,              0.0012081,              0.0012081,              0.0012081
                     13,                 3.3831,                 3.2646,                 3.4532,                0.00553,                0.14901,                0.00416,                0.00132,                 3.8326,                 4.1593,                 4.3961,              0.0012654,              0.0012654,              0.0012654
                     14,                 3.6183,                 3.1887,                 3.4773,                 0.0043,                0.25497,                0.00325,                  0.001,                 3.7099,                 4.0441,                 4.2706,              0.0013158,              0.0013158,              0.0013158
                     15,                   3.51,                 3.1609,                 3.3926,                0.00417,                0.36424,                0.00375,                0.00121,                 3.5972,                 4.0266,                 4.0679,               0.001307,               0.001307,               0.001307
